id,category_num
430065,9.0
75226,95.0
301990,100.0
301001,96.0
280179,65.0
153671,91.0
100940,20.0
219132,72.0
172982,128.0
277702,73.0
95483,50.0
428432,119.0
88592,79.0
64710,14.0
425078,80.0
290701,100.0
32336,72.0
112813,95.0
27541,140.0
393536,79.0
274919,69.0
132879,84.0
223591,96.0
362917,31.0
341804,79.0
139570,15.0
323295,2.0
439619,135.0
119078,135.0
450459,15.0
12992,90.0
332033,79.0
267432,76.0
248176,151.0
63001,86.0
364763,80.0
58542,90.0
417820,72.0
283289,80.0
165398,69.0
479522,107.0
37392,75.0
125323,106.0
483890,75.0
14573,93.0
352454,135.0
150996,125.0
340425,100.0
271696,69.0
17887,31.0
328213,90.0
295815,68.0
317348,79.0
210597,112.0
73657,79.0
56990,153.0
395265,150.0
86674,96.0
400652,79.0
72136,69.0
456878,2.0
103402,90.0
270740,150.0
68925,153.0
168214,79.0
421593,94.0
287190,14.0
104881,150.0
154100,41.0
232557,96.0
298965,12.0
393650,25.0
125811,73.0
203620,74.0
278195,90.0
361036,69.0
66438,90.0
28920,10.0
65038,150.0
417021,99.0
298754,65.0
355288,96.0
483110,15.0
239144,65.0
53013,84.0
396176,33.0
111052,96.0
187733,81.0
248695,65.0
412078,90.0
309483,107.0
73309,60.0
16729,76.0
254497,84.0
43395,90.0
175128,81.0
391450,12.0
98437,68.0
337713,60.0
464543,79.0
362278,31.0
105516,72.0
153018,128.0
118197,79.0
88365,15.0
230011,69.0
24076,137.0
66664,72.0
365388,96.0
99987,135.0
209609,135.0
98888,76.0
293485,137.0
222538,93.0
406387,45.0
69988,73.0
10266,93.0
121660,28.0
306419,88.0
436646,72.0
314879,88.0
195934,77.0
186618,68.0
160316,88.0
456483,100.0
278837,93.0
164242,93.0
25516,68.0
349276,65.0
28192,39.0
427820,96.0
378502,85.0
278154,90.0
464086,90.0
403881,153.0
28011,41.0
471113,90.0
171961,90.0
417834,31.0
135138,93.0
434797,9.0
415654,89.0
276007,79.0
311766,80.0
384565,33.0
364554,76.0
299473,69.0
256842,40.0
94084,80.0
478912,98.0
339018,7.0
204679,90.0
367116,72.0
249676,150.0
338787,125.0
349002,69.0
290207,65.0
421936,68.0
285350,76.0
175255,31.0
123358,90.0
120723,5.0
360088,69.0
111190,74.0
102896,76.0
381211,125.0
234040,65.0
48127,2.0
384130,99.0
2807,73.0
146186,65.0
248285,96.0
81448,79.0
415392,135.0
347814,84.0
308595,150.0
270084,36.0
375451,85.0
445011,39.0
54374,69.0
26223,50.0
5282,150.0
24046,116.0
216361,37.0
316621,88.0
118284,72.0
125629,72.0
252880,74.0
256498,101.0
237342,41.0
33293,109.0
353837,72.0
379908,72.0
159700,85.0
76647,79.0
153753,31.0
419958,150.0
300979,92.0
30369,72.0
260162,81.0
34586,88.0
25503,150.0
297729,80.0
281822,65.0
243087,65.0
409008,57.0
376042,79.0
27286,79.0
383439,97.0
448388,151.0
134911,54.0
234220,75.0
374035,72.0
189646,72.0
362322,152.0
405581,92.0
424718,39.0
444846,72.0
238100,65.0
210269,100.0
286895,96.0
254273,81.0
304157,79.0
353514,41.0
12804,7.0
108257,75.0
330828,150.0
26711,93.0
150164,71.0
456428,72.0
232563,79.0
45163,90.0
20553,76.0
122629,150.0
370101,68.0
116102,72.0
95122,93.0
98223,31.0
66565,76.0
465375,70.0
315016,15.0
231960,154.0
40708,76.0
351450,93.0
209715,84.0
26717,153.0
5417,70.0
361488,68.0
389262,85.0
425360,91.0
458959,119.0
312834,65.0
470075,88.0
20790,18.0
241051,40.0
181168,68.0
55874,69.0
150873,150.0
438706,93.0
2257,7.0
178891,70.0
85788,79.0
115278,59.0
245928,70.0
43253,93.0
253700,95.0
354256,120.0
321174,151.0
158242,115.0
238081,90.0
407597,73.0
322679,76.0
17529,81.0
58385,143.0
416577,92.0
483915,93.0
317836,79.0
230542,79.0
430819,84.0
185008,90.0
156385,150.0
220502,154.0
48808,61.0
73077,87.0
164644,150.0
268296,90.0
279721,12.0
358690,72.0
366072,73.0
172042,81.0
241884,76.0
